Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-02 22:42:38.164][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14560) ps rtp packet 472B, age=839025223, vt=2/96, sts=7224/537951594/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 22:43:23.452][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 472B, age=884311818, vt=2/96, sts=8239/542915990/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 22:46:52.403][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14560) ps rtp packet 472B, age=1093258618, vt=2/96, sts=13926/562629622/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 23:01:41.769][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14560) ps rtp packet 472B, age=1982630944, vt=2/96, sts=34968/640832443/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 23:07:50.217][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14348) ps rtp packet 472B, age=-1943890176, vt=2/96, sts=41727/675233993/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 23:28:29.849][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=-704269008, vt=2/96, sts=63914/787175986/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 23:44:29.353][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14160) ps rtp packet 472B, age=255248428, vt=2/96, sts=16434/873802788/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:02:28.901][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14348) ps rtp packet 472B, age=1334792137, vt=2/96, sts=33414/970325996/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:04:25.691][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14560) ps rtp packet 472B, age=1451580825, vt=2/96, sts=34524/978728548/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:06:23.567][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14560) ps rtp packet 472B, age=1569454965, vt=2/96, sts=35614/991547994/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:20:43.001][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 472B, age=-1866076145, vt=2/96, sts=44886/1069182031/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-03 01:05:01.896][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14560) ps rtp packet 472B, age=792821411, vt=2/96, sts=6160/1308052834/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:46:32.760][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14036) ps rtp packet 1404B, age=628973543, vt=2/96, sts=33289/24796800/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:56:17.747][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14036) ps rtp packet 1404B, age=1213967067, vt=2/96, sts=24331/77421586/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-03 12:01:07.672][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14036) ps rtp packet 321B, age=1503893160, vt=2/96, sts=39488/103402790/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-03 13:35:36.399][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 1404B, age=-1417330555, vt=2/96, sts=3243/3441600/0x27f2d0b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 17:11:25.274][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 1404B, age=-1353342278, vt=2/96, sts=21355/85442400/0x2836409, muxer (nil) lost_rate:00% req_id:
[2023-11-03 17:26:17.459][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14376) ps rtp packet 1404B, age=-461162029, vt=2/96, sts=1846/135277200/0x2836405, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-03 17:31:29.445][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 1404B, age=-149169491, vt=2/96, sts=62085/193975200/0x2836409, muxer (nil) lost_rate:00% req_id:
[2023-11-03 18:23:43.029][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-1310553705, vt=2/96, sts=52389/61495200/0x2838801, muxer (nil) lost_rate:00% req_id:
[2023-11-03 18:27:24.208][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=-1089378065, vt=2/96, sts=1939/81378001/0x2838801, muxer (nil) lost_rate:00% req_id:
[2023-11-03 19:00:28.843][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 1404B, age=895252274, vt=2/96, sts=1836/1036800/0x283880c, muxer (nil) lost_rate:00% req_id:
[2023-11-03 19:27:37.138][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 321B, age=-1771410769, vt=2/96, sts=16544/147582361/0x283880c, muxer (nil) lost_rate:00% req_id:
[2023-11-03 19:39:23.621][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 1404B, age=-1064930165, vt=2/96, sts=30670/211165200/0x283880c, muxer (nil) lost_rate:00% req_id:
[2023-11-03 20:32:46.336][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1404B, age=2137784695, vt=2/96, sts=39866/78346800/0x27f6701, muxer (nil) lost_rate:00% req_id:
[2023-11-03 20:34:09.806][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=-2073716753, vt=2/96, sts=44156/85849205/0x27f6701, muxer (nil) lost_rate:00% req_id:
[2023-11-03 20:35:59.642][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=-1963881173, vt=2/96, sts=49457/95763601/0x27f6701, muxer (nil) lost_rate:00% req_id:
[2023-11-03 20:36:21.607][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1404B, age=-1941910559, vt=2/96, sts=50709/97711200/0x27f6701, muxer (nil) lost_rate:00% req_id:
[2023-11-03 20:37:29.451][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 1404B, age=-1874065348, vt=2/96, sts=40216/524847600/0x283880c, muxer (nil) lost_rate:00% req_id:
[2023-11-04 16:13:32.851][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-30145075, vt=2/96, sts=58168/60661710/0x283fe0b, muxer (nil) lost_rate:00% req_id:
[2023-11-04 16:17:51.259][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1105B, age=228257300, vt=2/96, sts=15585/83934990/0x283fe0b, muxer (nil) lost_rate:00% req_id:
[2023-11-04 16:32:32.940][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1109946073, vt=2/96, sts=30795/163272870/0x283fe0b, muxer (nil) lost_rate:00% req_id:
[2023-11-06 12:15:59.523][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-397263401, vt=2/96, sts=16/0/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-06 12:18:12.179][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-264616700, vt=2/96, sts=30201/11905207/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-06 12:41:57.988][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=1161195721, vt=2/96, sts=58938/140245208/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-06 12:43:51.556][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1274771985, vt=2/96, sts=23802/150483600/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-06 12:47:05.945][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1469147054, vt=2/96, sts=1531/167835600/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-06 12:50:56.101][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1699316329, vt=2/96, sts=24431/188467200/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-06 12:56:01.617][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=2004828859, vt=2/96, sts=43642/215931600/0x2838803, muxer (nil) lost_rate:00% req_id:
[2023-11-06 16:12:16.828][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 1404B, age=895131754, vt=2/96, sts=0/0/0x283fe09, muxer (nil) lost_rate:00% req_id:
[2023-11-06 16:26:21.546][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14072) ps rtp packet 1404B, age=1739858888, vt=2/96, sts=11/0/0x283a50f, muxer (nil) lost_rate:00% req_id:
