Pseudo-terminal will not be allocated because stdin is not a terminal.
[0m[2023-10-29 01:52:25.301][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=986174739, vt=2/96, sts=47622/3038817676/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 02:00:36.284][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 909B, age=1477162647, vt=2/96, sts=9256/3082968076/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 02:17:18.177][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14504) ps rtp packet 1404B, age=-1815919557, vt=2/96, sts=63545/3118456876/0x2747e05, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 02:29:14.827][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 1404B, age=-1099260960, vt=2/96, sts=54108/3182947276/0x2747e05, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 02:35:27.964][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14268) ps rtp packet 1404B, age=-726125686, vt=2/96, sts=38583/3271194076/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 02:54:35.646][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=421557178, vt=2/96, sts=63137/3374488876/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 04:03:29.448][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14276) ps rtp packet 1404B, age=260393605, vt=2/96, sts=34565/3746520076/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 04:07:47.288][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=518226556, vt=2/96, sts=56988/3769772476/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 04:08:33.663][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14276) ps rtp packet 1404B, age=564608274, vt=2/96, sts=60821/3773948476/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 04:15:09.790][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14276) ps rtp packet 1404B, age=960734479, vt=2/96, sts=24187/3809595676/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 04:35:40.796][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14312) ps rtp packet 1404B, age=-2103225623, vt=2/96, sts=27560/3920331946/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 05:22:08.905][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=684875795, vt=2/96, sts=43815/4171251946/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 06:22:00.093][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=-18901890, vt=2/96, sts=47873/199528380/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 06:40:56.874][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=1117886621, vt=2/96, sts=45986/301775580/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 06:43:15.274][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14312) ps rtp packet 1404B, age=1256271563, vt=2/96, sts=54486/314253180/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 06:51:40.370][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 864B, age=1761379296, vt=2/96, sts=63010/304975980/0x2747e05, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 07:13:09.217][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=-1244751420, vt=2/96, sts=20918/475677180/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 07:37:15.281][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14276) ps rtp packet 1404B, age=201326919, vt=2/96, sts=40324/605845980/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 08:12:56.292][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14268) ps rtp packet 1404B, age=-1952639617, vt=2/96, sts=35471/798557580/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 08:20:50.319][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14312) ps rtp packet 1404B, age=-1478605497, vt=2/96, sts=2792/841221180/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 08:26:50.334][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14344) ps rtp packet 1404B, age=-1118590912, vt=2/96, sts=27543/873621180/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 08:29:38.348][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 1404B, age=-950574506, vt=2/96, sts=18186/833956380/0x2747e05, muxer (nil) lost_rate:00% req_id:
