Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 00:56:48.134][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=1639787753, vt=2/96, sts=32681/1779317986/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:18:36.894][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=-1346419973, vt=2/96, sts=25984/1367694000/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:23:00.907][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-1082406042, vt=2/96, sts=60919/1920866386/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:28:20.423][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-762903342, vt=2/96, sts=2728/1949623186/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:32:23.762][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-519557150, vt=2/96, sts=58136/1971521986/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:33:01.776][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=-481537307, vt=2/96, sts=26493/1445529600/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:42:45.551][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=102227273, vt=2/96, sts=28285/1498068000/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:55:27.147][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=863829156, vt=2/96, sts=45254/2096024386/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:01:09.836][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=1206519835, vt=2/96, sts=17006/1597453200/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:06:53.621][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 321B, age=1550305854, vt=2/96, sts=4151/2157803987/0x27f690f, muxer (nil) lost_rate:00% req_id:
