Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 03:30:20.897][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 431B, age=2093351698, vt=2/96, sts=33378/2336740020/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:31:17.161][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-2145359666, vt=2/96, sts=53473/2341805400/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:33:11.585][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 752B, age=-2030927227, vt=2/96, sts=30272/2352101760/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:37:20.648][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1781866672, vt=2/96, sts=57221/2374517610/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:40:42.168][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1580348579, vt=2/96, sts=926/2392653420/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:42:42.191][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1460326001, vt=2/96, sts=45426/2403457830/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:43:12.191][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1430330857, vt=2/96, sts=56568/2406156210/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:46:12.212][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1250308244, vt=2/96, sts=57845/2422357380/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:47:12.214][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1190297856, vt=2/96, sts=14588/2427757740/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:51:37.326][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-925186255, vt=2/96, sts=47358/2451611070/0x27f8c08, muxer (nil) lost_rate:00% req_id:
