Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 02:46:32.495][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-571103468, vt=2/96, sts=47825/2100188880/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:00:33.503][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=269899905, vt=2/96, sts=26521/2175877350/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:01:20.663][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=317054309, vt=2/96, sts=44056/2180121300/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:08:22.828][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=739228054, vt=2/96, sts=3082/2218114980/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:08:46.408][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=762803925, vt=2/96, sts=11806/2220237000/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:12:38.941][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=995339163, vt=2/96, sts=32504/2241164880/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:15:47.537][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1183924844, vt=2/96, sts=36907/2258140590/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:18:52.722][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1369123541, vt=2/96, sts=40132/2274806610/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:19:38.738][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1415134435, vt=2/96, sts=57197/2278946070/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:25:07.946][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1744343051, vt=2/96, sts=48431/2308574340/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:25:31.510][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1767907384, vt=2/96, sts=57177/2310692760/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:27:53.350][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1909737924, vt=2/96, sts=44347/2323460610/0x27f8c04, muxer (nil) lost_rate:00% req_id:
