Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-07 06:39:17.992][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1419798221, vt=2/96, sts=61698/4082713186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:51:53.983][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-2119176710, vt=2/96, sts=6540/4152005986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:52:51.162][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-2061999238, vt=2/96, sts=22097/4157384386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:00:37.513][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-1595645521, vt=2/96, sts=18085/4197711857/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-07 07:03:13.101][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1440060449, vt=2/96, sts=61833/4213418656/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:03:32.349][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1420807111, vt=2/96, sts=2289/4214717986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:21:12.039][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-361130260, vt=2/96, sts=57667/13768296/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:37:44.917][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=631753101, vt=2/96, sts=26798/105064290/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-07 07:50:21.971][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1388809435, vt=2/96, sts=59395/172981890/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:56:44.053][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=1770894612, vt=2/96, sts=43435/206217097/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:57:21.814][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1808646189, vt=2/96, sts=54067/210756960/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 08:09:54.992][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1733136190, vt=2/96, sts=17739/278551890/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 08:20:21.813][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1106311716, vt=2/96, sts=9779/333268290/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 08:25:33.661][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-794462467, vt=2/96, sts=37342/361452690/0x278a107, muxer (nil) lost_rate:00% req_id:
